Kabupaten,Tahun,persentase_kemiskinan,rls,keluhan_kesehatan,tpt,kejahatan,puskesmas
Kabupaten Pacitan,2019,13.67,7.28,31.52,0.91,108,26
Kabupaten Ponorogo,2019,9.64,7.21,42.51,3.5,557,31
Kabupaten Trenggalek,2019,10.98,7.28,38.82,3.36,518,23
Kabupaten Tulungagung,2019,6.74,8.07,32.66,3.29,880,36
Kabupaten Blitar,2019,8.94,7.29,49.49,3.05,481,24
Kabupaten Kediri,2019,10.42,8.01,38.49,3.58,1159,40
Kabupaten Malang,2019,9.47,7.27,33.12,3.7,2383,38
Kabupaten Lumajang,2019,9.49,6.22,32.14,2.73,312,25
Kabupaten Jember,2019,9.25,6.18,32.8,3.69,1776,54
Kabupaten Banyuwangi,2019,7.52,7.13,37.79,3.95,564,46
Kabupaten Bondowoso,2019,13.33,5.71,44.65,2.86,239,25
Kabupaten Situbondo,2019,11.2,6.12,40.59,2.77,761,20
Kabupaten Probolinggo,2019,17.76,5.77,42.77,3.77,289,33
Kabupaten Pasuruan,2019,8.68,7.11,35.96,5.22,455,34
Kabupaten Sidoarjo,2019,5.32,10.25,26.57,4.62,3172,28
Kabupaten Mojokerto,2019,9.75,8.49,35.95,3.61,458,27
Kabupaten Jombang,2019,9.22,8.53,43.14,4.28,1433,34
Kabupaten Nganjuk,2019,11.24,7.63,40.94,3.16,1443,20
Kabupaten Madiun,2019,10.54,7.8,32.95,3.52,938,26
Kabupaten Magetan,2019,9.61,7.96,39.22,2.98,744,23
Kabupaten Ngawi,2019,14.39,6.98,32.5,3.6,954,23
Kabupaten Bojonegoro,2019,12.38,7.09,40.81,3.56,473,41
Kabupaten Tuban,2019,14.58,6.81,39.44,2.7,747,34
Kabupaten Lamongan,2019,13.21,7.89,35.45,3.89,334,33
Kabupaten Gresik,2019,11.35,9.29,27.85,5.4,940,29
Kabupaten Bangkalan,2019,18.9,5.66,18.64,5.62,514,29
Kabupaten Sampang,2019,20.71,4.55,47.41,2.71,358,22
Kabupaten Pamekasan,2019,13.95,6.4,46.7,2.26,283,20
Kabupaten Sumenep,2019,19.48,5.46,20.65,2.08,342,30
Kota Kediri,2019,7.16,9.92,35.22,4.15,875,8
Kota Blitar,2019,7.13,10.1,44.82,4.54,903,3
Kota Malang,2019,4.07,10.17,34.0,5.88,896,16
Kota Probolinggo,2019,6.91,8.69,38.54,4.25,406,6
Kota Pasuruan,2019,6.46,9.11,44.47,4.89,271,8
Kota Mojokerto,2019,5.15,10.24,40.73,2.63,341,7
Kota Madiun,2019,4.35,11.13,41.95,3.96,816,6
Kota Surabaya,2019,4.51,10.47,30.14,5.76,3377,59
Kota Batu,2019,3.81,9.06,33.54,2.42,256,5
Kabupaten Pacitan,2020,14.54,7.6,29.95,2.28,72,24
Kabupaten Ponorogo,2020,9.95,7.54,46.25,4.45,402,33
Kabupaten Trenggalek,2020,11.62,7.55,33.91,4.11,595,23
Kabupaten Tulungagung,2020,7.33,8.33,31.62,4.61,538,34
Kabupaten Blitar,2020,9.33,7.39,43.94,3.82,304,24
Kabupaten Kediri,2020,11.4,8.02,32.23,5.24,862,38
Kabupaten Malang,2020,10.15,7.42,30.46,5.49,1850,40
Kabupaten Lumajang,2020,9.83,6.4,23.39,3.36,356,25
Kabupaten Jember,2020,10.09,6.48,33.26,5.12,1061,52
Kabupaten Banyuwangi,2020,8.06,7.16,39.59,5.34,893,46
Kabupaten Bondowoso,2020,14.17,5.93,39.66,4.13,378,25
Kabupaten Situbondo,2020,12.22,6.46,27.84,3.85,296,22
Kabupaten Probolinggo,2020,18.61,6.11,34.62,4.86,231,33
Kabupaten Pasuruan,2020,9.26,7.4,28.21,6.24,459,37
Kabupaten Sidoarjo,2020,5.59,10.5,26.35,10.97,1760,28
Kabupaten Mojokerto,2020,10.57,8.51,26.35,5.75,427,27
Kabupaten Jombang,2020,9.94,8.54,57.25,7.48,1056,34
